City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
201,Nuuk,GL,64.1835,-51.7216,11.01,72,75,17.27,light snow
202,Honningsvag,NO,70.9821,25.9704,37.15,81,75,17.27,broken clouds
203,Dzhebariki-Khaya,RU,62.2167,135.8,-30.51,98,100,2.98,overcast clouds
204,Norman Wells,CA,65.282,-126.8329,-12.96,77,75,11.5,light snow
205,Cayenne,GF,4.9333,-52.3333,82.44,74,75,4.61,broken clouds
206,Sao Filipe,CV,14.8961,-24.4956,72.19,68,45,7.7,scattered clouds
207,Baijiantan,CN,45.6333,85.1833,3.16,87,100,1.23,overcast clouds
208,Atkinson,US,42.8384,-71.147,36.45,63,75,12.66,broken clouds
209,Mingshui,CN,36.7167,117.5,40.06,39,95,7.45,overcast clouds
210,Zhongxing,CN,33.7039,118.6792,46.45,44,62,4.72,broken clouds
211,Baghdad,IQ,33.3406,44.4009,53.51,87,3,5.75,clear sky
212,Linguere,SN,15.3953,-15.1193,92.61,7,3,5.82,clear sky
213,Burns Lake,CA,54.2331,-125.7533,11.62,98,100,1.72,overcast clouds
214,Chagoda,RU,59.164,35.3285,28.29,92,97,10.16,overcast clouds
215,Lavrentiya,RU,65.5833,-171.0,24.75,97,100,2.33,overcast clouds
216,Kaitangata,NZ,-46.2817,169.8464,60.53,98,99,1.36,overcast clouds
217,Pevek,RU,69.7008,170.3133,12.33,80,11,10.04,few clouds
218,Sarangani,PH,5.4033,125.4636,81.7,78,33,19.04,scattered clouds
219,Cockburn Town,TC,21.4612,-71.1419,80.56,57,40,13.8,scattered clouds
220,Walvis Bay,NA,-22.9575,14.5053,69.1,67,20,15.86,few clouds
221,Krasnovishersk,RU,60.4078,57.082,25.09,92,100,11.61,light snow
222,Sitka,US,57.0531,-135.33,39.09,81,100,3.44,light rain
223,Hammerfest,NO,70.6634,23.6821,30.65,93,75,11.5,light snow
224,Narsaq,GL,60.9167,-46.05,21.42,90,100,4.36,overcast clouds
225,Port Macquarie,AU,-31.4333,152.9167,67.89,89,74,6.96,broken clouds
226,Luau,AO,-10.7073,22.2247,69.15,85,100,3.51,overcast clouds
227,Marsa Matruh,EG,31.3525,27.2453,59.56,57,53,23.58,light rain
228,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,72,40,14.45,light rain
229,Chicama,PE,-7.8447,-79.1469,68.54,54,70,6.11,broken clouds
230,Geraldton,AU,-28.7667,114.6,73.81,83,0,13.8,clear sky
231,Tual,ID,-5.6667,132.75,82.49,80,96,12.53,overcast clouds
232,Rio Gallegos,AR,-51.6226,-69.2181,68.05,22,75,24.16,broken clouds
233,Tadine,NC,-21.55,167.8833,76.26,84,92,4.99,overcast clouds
234,Ustye,RU,59.6304,39.736,29.98,89,100,16.22,overcast clouds
235,Russell,US,32.3502,-85.1999,63.68,94,100,4.61,overcast clouds
236,Qaqortoq,GL,60.7167,-46.0333,18.1,87,100,3.76,overcast clouds
237,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,17.27,few clouds
238,Saint-Joseph,RE,-21.3667,55.6167,80.98,80,97,7.16,overcast clouds
239,Katobu,ID,-4.9408,122.5276,75.34,93,100,1.48,overcast clouds
240,Yuzhno-Kurilsk,RU,44.0306,145.8556,17.98,71,38,2.98,scattered clouds
241,Folkestone,GB,51.0833,1.1833,51.98,92,72,5.01,broken clouds
242,Toamasina,MG,-18.1667,49.3833,80.6,89,75,12.66,moderate rain
243,Auki,SB,-8.7676,160.7034,77.29,85,87,1.41,overcast clouds
244,Brazzaville,CG,-4.2658,15.2832,89.96,55,20,3.44,few clouds
245,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,69,40,25.32,scattered clouds
246,Balkhash,KZ,46.844,74.9804,18.9,92,100,2.66,light snow
247,Atasu,KZ,48.6814,71.6433,3.2,99,73,2.77,broken clouds
248,Baykit,RU,61.67,96.37,-2.31,99,100,1.54,overcast clouds
249,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,75.2,91,100,1.32,overcast clouds
250,Kuruman,ZA,-27.4524,23.4325,82.99,34,39,19.53,scattered clouds
251,Sangerhausen,DE,51.4667,11.3,41.04,84,100,18.81,overcast clouds
252,Nusaybin,TR,37.0778,41.2178,44.67,88,100,5.26,overcast clouds
253,Snyder,US,32.7179,-100.9176,20.08,100,100,10.36,overcast clouds
254,Tilichiki,RU,60.4667,166.1,4.44,96,100,8.19,overcast clouds
255,Pisco,PE,-13.7,-76.2167,75.25,73,0,8.05,clear sky
256,San Clemente,US,33.427,-117.612,55.62,57,53,5.01,broken clouds
257,Jardim,BR,-21.4803,-56.1381,75.29,92,100,3.44,light rain
258,Obidos,BR,-1.9175,-55.5181,77.22,91,100,3.58,overcast clouds
259,Yunyang,CN,33.4474,112.7142,48.58,29,57,6.4,broken clouds
260,Gizo,SB,-8.103,156.8419,81.99,75,100,5.3,overcast clouds
261,Kinsale,IE,51.7075,-8.5306,47.57,66,40,12.66,scattered clouds
262,North Battleford,CA,52.7834,-108.2847,6.4,85,100,3.44,overcast clouds
263,Anadyr,RU,64.75,177.4833,25.3,92,20,33.55,light snow
264,Beloha,MG,-25.1667,45.05,70.47,70,69,14.09,broken clouds
265,Prabumulih,ID,-3.45,104.25,73.51,98,95,3.0,overcast clouds
266,Saint-Pierre,RE,-21.3393,55.4781,82.08,74,20,12.66,few clouds
267,Hami,CN,42.8,93.45,28.44,26,100,4.63,overcast clouds
268,Isangel,VU,-19.55,169.2667,78.58,82,98,3.47,overcast clouds
269,San Quintin,MX,30.4833,-115.95,53.24,70,40,2.84,scattered clouds
270,Fukue,JP,32.6881,128.8419,54.14,62,8,14.43,clear sky
271,Flinders,AU,-34.5833,150.8552,67.24,86,58,9.62,broken clouds
272,Vestmanna,FO,62.1564,-7.1664,40.12,75,75,17.27,light intensity shower rain
273,Hotaka,JP,36.3396,137.8825,23.5,86,40,3.58,scattered clouds
274,Avarua,CK,-21.2078,-159.775,75.25,88,20,1.14,light rain
